zip,rent,sqm_rent,living_space,offer_year,const_year,flattype,interior_qual
10717,1300.0,17.80821917808219,73.0,2018,1915,apartment,luxury
12043,1200.0,20.0,60.0,2019,2017,apartment,sophisticated
14167,795.0,11.024823186797947,72.11,2019,1950,apartment,sophisticated
12167,1149.0,13.51764705882353,85.0,2019,1900,apartment,normal
10715,1099.0,16.68944570994685,65.85,2019,1910,apartment,sophisticated
10117,1270.2,20.0,63.51,2019,2015,apartment,sophisticated
12459,389.0,29.923076923076923,13.0,2018,2018,apartment,sophisticated
14199,720.0,12.0,60.0,2019,1929,apartment,normal
12051,1339.74,18.0,74.43,2019,2019,apartment,sophisticated
10249,1547.22,20.835173713977916,74.26,2018,2015,apartment,sophisticated
13156,670.0,10.529624391010529,63.63,2019,1995,apartment,sophisticated
13467,2430.0,17.48201438848921,139.0,2019,2019,penthouse,luxury
10719,4959.54,24.500024699896258,202.43,2019,1892,apartment,luxury
13509,679.72,9.48005578800558,71.7,2018,2002,apartment,normal
13469,450.0,6.428571428571429,70.0,2019,1968,apartment,normal
12057,1149.0,11.376237623762377,101.0,2018,1964,roof_storey,sophisticated
10625,1119.0,14.346153846153847,78.0,2019,1904,apartment,sophisticated
10713,599.0,15.746582544689801,38.04,2019,1965,apartment,sophisticated
12209,1570.0,11.98473282442748,131.0,2019,2013,roof_storey,sophisticated
